ts,room,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1763754998.296704,3815,31,4096,0.08440017700195312,0.0839089948796281,0.11714772887025034,10.596356246294187,8.0,ACK,reno
1763754998.2967973,3815,32,4096,0.07343292236328125,0.08259948581508474,0.11800460882439825,10.69072830936537,8.0,ACK,reno
1763754998.2969012,3815,33,4096,0.08392333984375,0.0827649675686679,0.11064266385431831,10.784267306060663,8.0,ACK,reno
1763754998.296995,3815,34,4096,0.07390975952148438,0.08165806656276996,0.11142154682419128,10.876994977920022,8.0,ACK,reno
1763754998.2971208,3815,35,4096,0.08440017700195312,0.08200083036766785,0.10706555100291701,10.968932135382168,8.0,ACK,reno
1763754998.2972155,3815,36,4096,0.07414817810058594,0.08101924883428262,0.1076704415778014,11.060098712735156,8.0,ACK,reno
1763754998.2973197,3815,37,4096,0.08487701416015625,0.08150146950001683,0.10534762938352954,11.150513818962784,8.0,ACK,reno
1763754998.297421,3815,38,4096,0.08153915405273438,0.08150618006910652,0.09942848453445861,11.240195784855636,8.0,ACK,reno
1763754998.2975252,3815,39,4096,0.08463859558105469,0.08189773200810005,0.09847187586906228,11.329162206717019,8.0,ACK,reno
1763754998.2976182,3815,40,4096,0.07367134094238281,0.0808694331248854,0.10152643208632431,11.417429986960036,8.0,ACK,reno
1763754998.297722,3815,41,4096,0.08440017700195312,0.08131077610951887,0.10033426920766578,11.505015371862077,8.0,ACK,reno
1763754998.2978156,3815,42,4096,0.07343292236328125,0.08032604439123917,0.10247151796108697,11.591933986716406,8.0,ACK,reno
1763754998.2979198,3815,43,4096,0.08440017700195312,0.08083531096757841,0.10151854875567823,11.678200868597024,8.0,ACK,reno
1763754998.2980132,3815,44,4096,0.07367134094238281,0.07993981471442896,0.10261621308069942,11.763830496932073,8.0,ACK,reno
1763754998.2981174,3815,45,4096,0.08416175842285156,0.08046755767798178,0.10169680016110723,11.848836822062378,8.0,ACK,reno
1763754998.2982106,3815,46,4096,0.07343292236328125,0.07958822826364421,0.10254479544068883,11.933233291945228,8.0,ACK,reno
1763754998.2983165,3815,47,4096,0.08630752563476562,0.08042814043503439,0.10436486318893926,12.017032877148594,8.0,ACK,reno
1763754998.2983994,3815,48,4096,0.06365776062011719,0.07833184295816974,0.11305476483851559,12.100248094267753,8.0,ACK,reno
1763754998.298504,3815,49,4096,0.08511543273925781,0.07917979168080574,0.11200557287215321,12.18289102788444,8.0,ACK,reno
1763754998.2985964,3815,50,4096,0.072479248046875,0.07834222372656441,0.10966210325400574,12.264973351177915,8.0,ACK,reno
1763754998.2987168,3815,51,4096,0.10037422180175781,0.08109622348596358,0.12661813120673798,12.34650634528784,8.0,ACK,reno
1763754998.2988105,3815,52,4096,0.07367134094238281,0.08016811316801599,0.12173442650217757,12.427500917520144,8.0,ACK,reno
1763754998.2989297,3815,53,4096,0.09942054748535156,0.08257466745768294,0.1330018367756397,12.507967618479322,8.0,ACK,reno
1763754998.2990198,3815,54,4096,0.07009506225585938,0.08101471680745499,0.13131469899774612,12.587916658203618,8.0,ACK,reno
1763754998.2991395,3815,55,4096,0.10013580322265625,0.08340485260935515,0.14025092566727476,12.66735792137311,8.0,ACK,reno
1763754998.2992332,3815,56,4096,0.07367134094238281,0.08218816365098361,0.13455623011139564,12.746300981655061,8.0,ACK,reno
1763754998.2993646,3815,57,4096,0.11181831359863281,0.08589193239443976,0.154798132187398,12.824755115245601,8.0,ACK,reno
1763754998.2994606,3815,58,4096,0.0762939453125,0.08469218400919729,0.14596982093585573,12.902729313662165,8.0,ACK,reno
1763754998.2995846,3815,59,4096,0.10418891906738281,0.08712927589147047,0.15258423864464982,12.98023229583673,8.0,ACK,reno
1763754998.2996778,3815,60,4096,0.07367134094238281,0.08544703402283452,0.1479961910368067,13.057272519556049,8.0,ACK,reno
1763754998.299802,3815,61,4096,0.10418891906738281,0.08778976965340306,0.1534435224584305,13.133858192291475,8.0,ACK,reno
1763754998.299895,3815,62,4096,0.07319450378417969,0.08596536141975014,0.14980094189274407,13.209997281457744,8.0,ACK,reno
1763754998.3000212,3815,63,4096,0.10657310485839844,0.08854132934958117,0.15702575814297492,13.2856975241371,8.0,ACK,reno
1763754998.3001142,3815,64,4096,0.07367134094238281,0.08668258079868138,0.15291589080092505,13.360966436302474,8.0,ACK,reno
1763754998.3002183,3815,65,4096,0.08440017700195312,0.08639728032409034,0.13835466662250134,13.435811321570874,8.0,ACK,reno
1763754998.3003116,3815,66,4096,0.07343292236328125,0.08477673557898921,0.13670913326360656,13.510239279515961,8.0,ACK,reno
1763754998.3004172,3815,67,4096,0.08606910705566406,0.08493828201357356,0.12517995175371144,13.584257213566632,8.0,ACK,reno
1763754998.3005292,3815,68,4096,0.07390975952148438,0.08355971670206241,0.124769491499255,13.657871838516556,8.0,ACK,reno
1763754998.300635,3815,69,4096,0.08463859558105469,0.08369457656193645,0.11568078653882316,13.731089687667835,8.0,ACK,reno
1763754998.3007286,3815,70,4096,0.07367134094238281,0.08244167210949224,0.11645456521171091,13.803917119630363,8.0,ACK,reno
1763754998.3008325,3815,71,4096,0.08416175842285156,0.08265668289866215,0.10988643903868547,13.876360324796954,8.0,ACK,reno
1763754998.3009257,3815,72,4096,0.07343292236328125,0.08150371283173954,0.11114979047213794,13.948425331512945,8.0,ACK,reno
1763754998.3010292,3815,73,4096,0.08368492126464844,0.08177636388585316,0.10619213054906085,14.020118011957724,8.0,ACK,reno
